n_nodes,B_better,A_better,tie
6,29.6296,22.2222,48.1481
7,35.3982,44.2478,20.354
8,40.6699,44.0191,15.311
9,38.4371,43.6731,17.8897
10,38.5107,42.6049,18.8843
