n_nodes,mean_delta,median_delta,std_delta,n_graphs
6,0.020106,0.0,0.182228,27
7,-0.043658,0.0,0.254238,113
8,-0.011597,0.0,0.283907,418
9,-0.019495,0.0,0.249709,2521
10,-0.010559,0.0,0.240907,3908
